movieId,title_clean,year,genres,genres_clean,tags_clean,tmdb_rating,tmdb_vote_count,tmdb_weighted_rating,imdbId,tmdbId
50,"Usual Suspects, The",1995,Crime|Mystery|Thriller,Crime Mystery Thriller,heist mindfuck suspense thriller tricky twist ending,,0.0,6.52899767364573,114814,629.0
52,Mighty Aphrodite,1995,Comedy|Drama|Romance,Comedy Drama Romance,adoption prostitution,6.735,742.0,6.69902406536416,113819,11448.0
53,Lamerica,1994,Adventure|Drama,Adventure Drama,,7.143,63.0,6.704825612556271,110299,49133.0
54,"Big Green, The",1995,Children|Comedy,Children Comedy,,5.599,202.0,6.005712074547018,112499,26441.0
55,Georgia,1995,Drama,Drama,,5.745,47.0,6.348370758639115,113158,97406.0
57,Home for the Holidays,1995,Drama,Drama,,6.245,192.0,6.3727582657947845,113321,9089.0
58,"Postman, The (Postino, Il)",1994,Comedy|Drama|Romance,Comedy Drama Romance,writing,7.917,1215.0,7.758168830001734,110877,11010.0
60,"Indian in the Cupboard, The",1995,Adventure|Children|Fantasy,Adventure Children Fantasy,,6.467,676.0,6.478685035729147,113419,11359.0
61,Eye for an Eye,1996,Drama|Thriller,Drama Thriller,,6.252,466.0,6.321805192234959,116260,17182.0
62,Mr. Holland's Opus,1995,Drama,Drama,music,6.975,453.0,6.8602092373153765,113862,2054.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy|Crime,Comedy Crime,,7.034,1506.0,6.986323893422958,116126,10607.0
64,Two if by Sea,1996,Comedy|Romance,Comedy Romance,,4.98,99.0,5.929971229540545,118002,19760.0
65,Bio-Dome,1996,Comedy,Comedy,,4.564,401.0,5.116875689538315,115683,9536.0
66,Lawnmower Man 2: Beyond Cyberspace,1996,Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,,3.3,172.0,4.840889467362856,116839,11525.0
68,French Twist (Gazon maudit),1995,Comedy|Romance,Comedy Romance,,6.1,323.0,6.2403179890882905,113149,4482.0
69,Friday,1995,Comedy,Comedy,,7.141,2004.0,7.0965370822593155,113118,10634.0
70,From Dusk Till Dawn,1996,Action|Comedy|Horror|Thriller,Action Comedy Horror Thriller,,7.042,6478.0,7.029861135608497,116367,755.0
71,Fair Game,1995,Action,Action,,5.139,335.0,5.582556168216219,113010,11859.0
72,Kicking and Screaming,1995,Comedy|Drama,Comedy Drama,,6.2,236.0,6.331431640616742,113537,28387.0
73,"Misérables, Les",1995,Drama|War,Drama War,,6.68,86.0,6.582438826182631,113828,48750.0
74,Bed of Roses,1996,Drama|Romance,Drama Romance,,5.868,125.0,6.236002250930424,115644,20927.0
75,Big Bully,1996,Comedy|Drama,Comedy Drama,,4.663,80.0,5.899125041191475,115676,36929.0
76,Screamers,1995,Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,,6.2,599.0,6.268323590955529,114367,9102.0
77,Nico Icon,1995,Documentary,Documentary,,7.917,12.0,6.627554051848399,113973,124626.0
78,"Crossing Guard, The",1995,Action|Crime|Drama|Thriller,Action Crime Drama Thriller,,6.014,283.0,6.197760533550863,112744,27526.0
79,"Juror, The",1996,Drama|Thriller,Drama Thriller,,5.701,443.0,5.9176593912706315,116731,9623.0
80,"White Balloon, The (Badkonake sefid)",1995,Children|Drama,Children Drama,,7.462,118.0,6.929340490045017,112445,46785.0
81,Things to Do in Denver When You're Dead,1995,Crime|Drama|Romance,Crime Drama Romance,,6.462,429.0,6.479949888673003,114660,400.0
82,Antonia's Line (Antonia),1995,Comedy|Drama,Comedy Drama,,6.9,143.0,6.705842115874598,112379,880.0
83,Once Upon a Time... When We Were Colored,1995,Drama|Romance,Drama Romance,,4.167,6.0,6.442052974002329,114039,146599.0
85,Angels and Insects,1995,Drama|Romance,Drama Romance,,6.184,57.0,6.437105769917661,112365,8447.0
86,White Squall,1996,Action|Adventure|Drama,Action Adventure Drama,,6.26,407.0,6.334880558089325,118158,10534.0
87,Dunston Checks In,1996,Children|Comedy,Children Comedy,,5.406,244.0,5.845677393422392,116151,17414.0
88,Black Sheep,1996,Comedy,Comedy,,6.077,457.0,6.192575952381725,115697,13997.0
89,Nick of Time,1995,Action|Thriller,Action Thriller,,6.239,798.0,6.286675010222386,113972,2086.0
92,Mary Reilly,1996,Drama|Horror|Thriller,Drama Horror Thriller,jekyll and hyde,5.777,341.0,6.014075571812008,117002,9095.0
93,Vampire in Brooklyn,1995,Comedy|Horror|Romance,Comedy Horror Romance,,5.09,630.0,5.377068150905183,114825,12158.0
94,Beautiful Girls,1996,Comedy|Drama|Romance,Comedy Drama Romance,,6.651,400.0,6.61661155253569,115639,9283.0
95,Broken Arrow,1996,Action|Adventure|Thriller,Action Adventure Thriller,,6.067,1662.0,6.1068755551195055,115759,9208.0
96,In the Bleak Midwinter,1995,Comedy|Drama,Comedy Drama,theater,7.081,43.0,6.647678173811897,113403,40154.0
97,"Hate (Haine, La)",1995,Crime|Drama,Crime Drama,,8.086,4539.0,8.033945194796077,113247,406.0
99,Heidi Fleiss: Hollywood Madam,1995,Documentary,Documentary,,6.733,15.0,6.546788574199882,113283,63076.0
100,City Hall,1996,Drama|Thriller,Drama Thriller,,5.975,319.0,6.157726123450377,115907,11062.0
101,Bottle Rocket,1996,Adventure|Comedy|Crime|Romance,Adventure Comedy Crime Romance,crime off-beat comedy quirky,6.7,1189.0,6.680053963419302,115734,13685.0
102,Mr. Wrong,1996,Comedy,Comedy,,4.047,64.0,5.810229116571854,117102,47475.0
103,Unforgettable,1996,Mystery|Sci-Fi|Thriller,Mystery Sci-Fi Thriller,,5.615,117.0,6.138713995483137,118040,2045.0
104,Happy Gilmore,1996,Comedy,Comedy,adam sandler golf test tag,6.677,3320.0,6.670317122451071,116483,9614.0
105,"Bridges of Madison County, The",1995,Drama|Romance,Drama Romance,,7.705,2369.0,7.631907218829129,112579,688.0
106,Nobody Loves Me (Keiner liebt mich),1994,Comedy|Drama,Comedy Drama,,6.264,36.0,6.479568055763625,110251,11907.0
107,Muppet Treasure Island,1996,Adventure|Children|Comedy|Musical,Adventure Children Comedy Musical,muppets,6.707,459.0,6.661632523964902,117110,10874.0
108,Catwalk,1996,Documentary,Documentary,,7.778,9.0,6.59671466724325,112646,89333.0
110,Braveheart,1995,Action|Drama|War,Action Drama War,beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge scotland sword fight,7.944,11083.0,7.924235287790248,112573,197.0
111,Taxi Driver,1976,Crime|Drama|Thriller,Crime Drama Thriller,assassination,8.126,13396.0,8.107500083727762,75314,103.0
112,Rumble in the Bronx (Hont faan kui),1995,Action|Adventure|Comedy|Crime,Action Adventure Comedy Crime,,6.83,1154.0,6.793953192038429,113326,33542.0
113,Before and After,1996,Drama|Mystery,Drama Mystery,,5.933,209.0,6.188660204268796,115645,43566.0
116,Anne Frank Remembered,1995,Documentary,Documentary,holocaust,7.6,25.0,6.676113377815272,112373,51352.0
117,"Young Poisoner's Handbook, The",1995,Crime|Drama,Crime Drama,,6.664,55.0,6.564021862086697,115033,16934.0
118,If Lucy Fell,1996,Comedy|Romance,Comedy Romance,,5.383,60.0,6.21213195743032,116606,10324.0
119,"Steal Big, Steal Little",1995,Comedy,Comedy,,4.522,23.0,6.272547970902108,114536,78406.0
121,"Boys of St. Vincent, The",1992,Drama,Drama,,7.222,45.0,6.683379380011781,106473,32119.0
122,Boomerang,1992,Comedy|Romance,Comedy Romance,dating,5.66,625.0,5.834466284862378,103859,11066.0
123,Chungking Express (Chung Hing sam lam),1994,Drama|Mystery|Romance,Drama Mystery Romance,,8.0,2185.0,7.90138882782339,109424,11104.0
125,Flirting With Disaster,1996,Comedy,Comedy,,6.2,270.0,6.32096635775733,116324,2074.0
126,"NeverEnding Story III, The",1994,Adventure|Children|Fantasy,Adventure Children Fantasy,,4.499,424.0,5.04755358823129,110647,27793.0
128,Jupiter's Wife,1994,Documentary,Documentary,,7.125,8.0,6.557894756135634,110217,290157.0
129,Pie in the Sky,1996,Comedy|Romance,Comedy Romance,,6.633,15.0,6.538067643967323,114131,110972.0
132,Jade,1995,Thriller,Thriller,,5.51,290.0,5.867902986045592,113451,11863.0
135,Down Periscope,1996,Comedy,Comedy,,6.387,525.0,6.419688614021084,116130,9101.0
137,Man of the Year,1995,Documentary,Documentary,,3.563,8.0,6.385191725832604,113756,5757.0
140,Up Close and Personal,1996,Drama|Romance,Drama Romance,journalism,6.282,238.0,6.3801737588921,118055,9302.0
141,"Birdcage, The",1996,Comedy,Comedy,,7.058,1353.0,7.0029977713658145,115685,11000.0
144,"Brothers McMullen, The",1995,Comedy,Comedy,,6.054,102.0,6.341932952750501,112585,16388.0
145,Bad Boys,1995,Action|Comedy|Crime|Drama|Thriller,Action Comedy Crime Drama Thriller,,6.827,6935.0,6.820402937783753,112442,9737.0
146,"Amazing Panda Adventure, The",1995,Adventure|Children,Adventure Children,,5.641,96.0,6.192049939772251,112342,30765.0
147,"Basketball Diaries, The",1995,Drama,Drama,addiction heroin leonardo dicaprio mark wahlberg,7.396,2196.0,7.338150716006111,112461,10474.0
148,"Awfully Big Adventure, An",1995,Drama,Drama,,6.562,69.0,6.5390736051432725,112427,22279.0
149,Amateur,1994,Crime|Drama|Thriller,Crime Drama Thriller,,6.1,106.0,6.356093668298021,109093,30157.0
150,Apollo 13,1995,Adventure|Drama|IMAX,Adventure Drama IMAX,moon nasa space,7.457,5893.0,7.432917956159071,112384,568.0
151,Rob Roy,1995,Action|Drama|Romance|War,Action Drama Romance War,,6.708,706.0,6.675435266236825,114287,11780.0
152,"Addiction, The",1995,Drama|Horror,Drama Horror,,6.5,309.0,6.5097696024943765,112288,34996.0
153,Batman Forever,1995,Action|Adventure|Comedy|Crime,Action Adventure Comedy Crime,superhero,5.453,5568.0,5.482507709128799,112462,414.0
154,Beauty of the Day (Belle de jour),1967,Drama,Drama,,7.314,1017.0,7.209020983613611,61395,649.0
155,Beyond Rangoon,1995,Adventure|Drama|War,Adventure Drama War,,6.541,85.0,6.5332133667866925,112495,1873.0
156,Blue in the Face,1995,Comedy|Drama,Comedy Drama,,6.535,185.0,6.53224454608883,112541,5894.0
157,Canadian Bacon,1995,Comedy|War,Comedy War,,5.783,253.0,6.068662523810682,109370,1775.0
158,Casper,1995,Adventure|Children,Adventure Children,,6.339,4912.0,6.344884717846199,112642,8839.0
159,Clockers,1995,Crime|Drama|Mystery,Crime Drama Mystery,,6.7,351.0,6.647150855831455,112688,20649.0
160,Congo,1995,Action|Adventure|Mystery|Sci-Fi,Action Adventure Mystery Sci-Fi,michael crichton,5.599,983.0,5.727078626984544,112715,10329.0
161,Crimson Tide,1995,Drama|Thriller|War,Drama Thriller War,submarine,7.185,1981.0,7.136827705688671,112740,8963.0
162,Crumb,1994,Documentary,Documentary,in netflix queue,7.522,279.0,7.164428061381605,109508,26564.0
163,Desperado,1995,Action|Romance|Western,Action Romance Western,,6.935,3129.0,6.915601836507115,112851,8068.0
164,Devil in a Blue Dress,1995,Crime|Film-Noir|Mystery|Thriller,Crime Film-Noir Mystery Thriller,,6.471,456.0,6.485854216578106,112857,8512.0
165,Die Hard: With a Vengeance,1995,Action|Crime|Thriller,Action Crime Thriller,,7.279,6648.0,7.26169649298492,112864,1572.0
166,"Doom Generation, The",1995,Comedy|Crime|Drama,Comedy Crime Drama,,6.537,307.0,6.534292316298232,112887,13552.0
168,First Knight,1995,Action|Drama|Romance,Action Drama Romance,,6.107,1336.0,6.151376178675406,113071,6520.0
169,Free Willy 2: The Adventure Home,1995,Adventure|Children|Drama,Adventure Children Drama,,5.932,636.0,6.050194999700353,113114,9073.0
170,Hackers,1995,Action|Adventure|Crime|Thriller,Action Adventure Crime Thriller,,6.367,1465.0,6.3826804160064,113243,10428.0
171,Jeffrey,1995,Comedy|Drama,Comedy Drama,,6.25,70.0,6.44296314873295,113464,17447.0
172,Johnny Mnemonic,1995,Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,,5.8,1514.0,5.868493497763243,113481,9886.0
173,Judge Dredd,1995,Action|Crime|Sci-Fi,Action Crime Sci-Fi,,5.855,2729.0,5.891665847111012,113492,9482.0
174,Jury Duty,1995,Comedy,Comedy,,4.379,128.0,5.56338468337677,113500,19326.0
175,Kids,1995,Drama,Drama,controversial new york city nudity (full frontal),6.891,1287.0,6.851641021303587,113540,9344.0
176,Living in Oblivion,1995,Comedy,Comedy,,7.195,323.0,6.977161739088292,113677,9071.0
177,Lord of Illusions,1995,Horror,Horror,,6.0,376.0,6.155821078353433,113690,8973.0
178,Love & Human Remains,1993,Comedy|Drama,Comedy Drama,,5.8,46.0,6.363806082573299,107447,15730.0
179,Mad Love,1995,Drama|Romance,Drama Romance,,5.167,123.0,5.930691552722784,113729,47608.0
180,Mallrats,1995,Comedy|Romance,Comedy Romance,,6.756,1377.0,6.732767037002855,113749,2293.0
181,Mighty Morphin Power Rangers: The Movie,1995,Action|Children,Action Children,,5.882,767.0,5.991933587405172,113820,9070.0
183,Mute Witness,1994,Comedy|Horror|Thriller,Comedy Horror Thriller,,6.488,166.0,6.507927661803033,110604,48787.0
184,Nadja,1994,Drama,Drama,,5.7,60.0,6.299781727015574,110620,34574.0
185,"Net, The",1995,Action|Crime|Thriller,Action Crime Thriller,computers,6.0,1516.0,6.04964293769419,113957,1642.0
186,Nine Months,1995,Comedy|Romance,Comedy Romance,,5.727,706.0,5.872902241903105,113986,11472.0
187,Party Girl,1995,Comedy,Comedy,,6.4,97.0,6.479734782529054,114095,36196.0
188,"Prophecy, The",1995,Fantasy|Horror|Mystery,Fantasy Horror Mystery,,6.51,556.0,6.514183218460561,114194,11980.0
189,Reckless,1995,Comedy|Fantasy,Comedy Fantasy,,6.611,9.0,6.5334435829059005,114241,58372.0
190,Safe,1995,Thriller,Thriller,,7.0,344.0,6.852400468587584,114323,32646.0
191,"Scarlet Letter, The",1995,Drama|Romance,Drama Romance,,6.133,523.0,6.224428874650559,114345,10533.0
193,Showgirls,1995,Drama,Drama,,5.571,1380.0,5.6688566263906175,114436,10802.0
194,Smoke,1995,Comedy|Drama,Comedy Drama,,7.2,526.0,7.045757883985915,114478,10149.0
195,Something to Talk About,1995,Comedy|Drama|Romance,Comedy Drama Romance,,5.635,256.0,5.9748489945820324,114496,18402.0
196,Species,1995,Horror|Sci-Fi,Horror Sci-Fi,,5.982,1840.0,6.025003823115863,114508,9348.0
198,Strange Days,1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Action Crime Drama Mystery Sci-Fi Thriller,,7.013,1537.0,6.968142641536234,114558,281.0
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,Drama|Musical|Romance,Drama Musical Romance,made me cry,7.382,882.0,7.253105519501808,58450,5967.0
201,Three Wishes,1995,Drama|Fantasy,Drama Fantasy,,6.271,85.0,6.43837865604289,114663,47939.0
202,Total Eclipse,1995,Drama|Romance,Drama Romance,,6.433,557.0,6.454108732160195,114702,36834.0
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy,Comedy,,7.367,766.0,7.224457892483619,114682,9090.0
204,Under Siege 2: Dark Territory,1995,Action,Action,,5.864,1017.0,5.952930694005434,114781,3512.0
205,Unstrung Heroes,1995,Comedy|Drama,Comedy Drama,,6.125,32.0,6.460595951123702,114798,52856.0
206,Unzipped,1995,Documentary,Documentary,,5.368,19.0,6.403662697513521,114805,77350.0
207,"Walk in the Clouds, A",1995,Drama|Romance,Drama Romance,,7.374,1123.0,7.270355183408109,114887,9560.0
208,Waterworld,1995,Action|Adventure|Sci-Fi,Action Adventure Sci-Fi,,6.228,4071.0,6.239177065932445,114898,9804.0
209,White Man's Burden,1995,Drama,Drama,,5.106,86.0,6.025385328240245,114928,31611.0
210,Wild Bill,1995,Western,Western,,5.761,176.0,6.123088993280419,114938,65796.0
211,"Browning Version, The",1994,Drama,Drama,,6.452,62.0,6.507199245490318,109340,49805.0
212,Bushwhacked,1995,Adventure|Comedy|Crime|Mystery,Adventure Comedy Crime Mystery,,5.395,130.0,6.015340190809685,112602,26258.0
213,Burnt by the Sun (Utomlyonnye solntsem),1994,Drama,Drama,,6.919,203.0,6.74891565211772,111579,50797.0
214,Before the Rain (Pred dozhdot),1994,Drama|War,Drama War,,7.352,186.0,6.975290480356792,110882,19155.0
215,Before Sunrise,1995,Drama|Romance,Drama Romance,generation x,7.973,4676.0,7.92609158592228,112471,76.0
216,Billy Madison,1995,Comedy,Comedy,adam sandler school stop looking at me swan,6.19,1796.0,6.217251733109258,112508,11017.0
217,"Babysitter, The",1995,Drama|Thriller,Drama Thriller,,5.2,186.0,5.808316719423847,112438,37141.0
218,Boys on the Side,1995,Comedy|Drama,Comedy Drama,,6.397,258.0,6.446936469306939,112571,9382.0
219,"Cure, The",1995,Drama,Drama,,7.9,351.0,7.476284714099172,112757,6715.0
220,Castle Freak,1995,Horror,Horror,,6.105,237.0,6.273953387721775,112643,18256.0
222,Circle of Friends,1995,Drama|Romance,Drama Romance,ireland,6.25,98.0,6.421775038283842,112679,22625.0
223,Clerks,1994,Comedy,Comedy,cynical generation x hilarious independent film quirky witty,7.375,2756.0,7.329403582136073,109445,2292.0
224,Don Juan DeMarco,1995,Comedy|Drama|Romance,Comedy Drama Romance,mental illness psychology,6.752,801.0,6.715453689731085,112883,1909.0
225,Disclosure,1994,Drama|Thriller,Drama Thriller,,6.247,1270.0,6.278025672573497,109635,8984.0
227,Drop Zone,1994,Action|Thriller,Action Thriller,,5.711,452.0,5.921879531629523,109676,4954.0
228,Destiny Turns on the Radio,1995,Comedy,Comedy,,5.0,48.0,6.170988462255511,112854,62488.0
229,Death and the Maiden,1994,Drama|Thriller,Drama Thriller,,7.066,557.0,6.947919656529943,109579,10531.0
230,Dolores Claiborne,1995,Drama|Thriller,Drama Thriller,stephen king,7.264,871.0,7.151747699185194,109642,11929.0
231,Dumb & Dumber (Dumb and Dumber),1994,Adventure|Comedy,Adventure Comedy,,6.657,6706.0,6.6540717812563575,109686,8467.0
232,Eat Drink Man Woman (Yin shi nan nu),1994,Comedy|Drama|Romance,Comedy Drama Romance,in netflix queue,7.631,401.0,7.320938413552652,111797,10451.0
233,Exotica,1994,Drama,Drama,,6.633,391.0,6.6032037130700365,109759,20156.0
234,Exit to Eden,1994,Comedy,Comedy,,4.206,97.0,5.641868640796771,109758,18395.0
235,Ed Wood,1994,Comedy|Drama,Comedy Drama,movie business,7.483,2511.0,7.426861182444671,109707,522.0
236,French Kiss,1995,Action|Comedy|Romance,Action Comedy Romance,,6.474,795.0,6.483069994498298,113117,397.0
237,Forget Paris,1995,Comedy|Romance,Comedy Romance,basketball france infertility,6.3,161.0,6.413058599881697,113097,10525.0
238,Far From Home: The Adventures of Yellow Dog,1995,Adventure|Children,Adventure Children,,6.198,96.0,6.403401718428378,113028,27985.0
239,"Goofy Movie, A",1995,Animation|Children|Comedy|Romance,Animation Children Comedy Romance,,7.031,1909.0,6.992851710920803,113198,15789.0
240,Hideaway,1995,Thriller,Thriller,,5.2,171.0,5.83613608159262,113303,27303.0
241,Fluke,1995,Children|Drama,Children Drama,,7.085,278.0,6.884327896005471,113089,21183.0
242,Farinelli: il castrato,1994,Drama|Musical,Drama Musical,,6.563,192.0,6.547703824534039,109771,10954.0
243,Gordy,1995,Children|Comedy|Fantasy,Children Comedy Fantasy,,5.379,33.0,6.3292612355914715,113199,47867.0
246,Hoop Dreams,1994,Documentary,Documentary,basketball,7.583,331.0,7.243904989267172,110057,14275.0
247,Heavenly Creatures,1994,Crime|Drama,Crime Drama,australia,6.971,1032.0,6.912636362289637,110005,1024.0
248,Houseguest,1994,Comedy,Comedy,bad sinbad,5.506,78.0,6.189449509627147,110066,17207.0
249,Immortal Beloved,1994,Drama|Romance,Drama Romance,beethoven,7.1,372.0,6.930534281214328,110116,13701.0
250,Heavyweights (Heavy Weights),1995,Children|Comedy,Children Comedy,,6.18,416.0,6.2756241444369625,110006,14819.0
251,"Hunted, The",1995,Action,Action,,5.712,125.0,6.1668533147602105,113360,32631.0
252,I.Q.,1994,Comedy|Romance,Comedy Romance,einstein,6.023,491.0,6.145595115374042,110099,11777.0
253,Interview with the Vampire: The Vampire Chronicles,1994,Drama|Horror,Drama Horror,,7.389,6413.0,7.368448955062767,110148,628.0
254,Jefferson in Paris,1995,Drama,Drama,,5.117,47.0,6.203684484129312,113463,87729.0
255,"Jerky Boys, The",1995,Comedy,Comedy,,4.4,35.0,6.140899139387393,110189,18713.0
256,Junior,1994,Comedy|Sci-Fi,Comedy Sci-Fi,,5.184,1635.0,5.301837407791507,110216,6280.0
257,Just Cause,1995,Mystery|Thriller,Mystery Thriller,court,6.26,621.0,6.314283592239562,113501,9061.0
258,"Kid in King Arthur's Court, A",1995,Adventure|Children|Comedy|Fantasy|Romance,Adventure Children Comedy Fantasy Romance,,4.997,191.0,5.688159870006837,113538,37108.0
259,Kiss of Death,1995,Crime|Drama|Thriller,Crime Drama Thriller,,5.703,358.0,5.954808999538601,113552,6071.0
260,Star Wars: Episode IV - A New Hope,1977,Action|Adventure|Sci-Fi,Action Adventure Sci-Fi,action classic classic sci-fi darth vader engrossing adventure epic great soundtrack luke skywalker nerd oldie but goodie robots and androids sci-fi space space action space adventure space epic space opera star wars,8.205,22289.0,8.193277093235427,76759,11.0
261,Little Women,1994,Drama,Drama,louisa may alcott,7.275,1342.0,7.196866334064296,110367,9587.0
262,"Little Princess, A",1995,Children|Drama,Children Drama,england girl power india,7.614,1034.0,7.470972825157331,113670,19101.0
263,Ladybird Ladybird,1994,Drama,Drama,,7.202,104.0,6.797167182997622,110296,49980.0
265,Like Water for Chocolate (Como agua para chocolate),1992,Drama|Fantasy|Romance,Drama Fantasy Romance,,7.282,554.0,7.115725224700955,103994,18183.0
266,Legends of the Fall,1994,Drama|Romance|War|Western,Drama Romance War Western,,7.384,2838.0,7.339180178551714,110322,4476.0
